breach_date	breach_is_sensitive	total_number_of_affected_accounts
2016-11-01	False	6137666
2014-06-21	False	285191
2021-02-25	False	20339937
2015-04-01	False	254867
2019-11-24	False	7327477
2020-02-28	False	494945
2017-08-01	False	27971100
2014-12-22	False	442166
2018-11-30	False	265410
2020-04-01	False	8234193
2015-04-27	False	107776
2016-05-28	False	97151
2014-02-12	False	2239
2017-09-01	False	10371766
2015-09-03	True	178201
2017-12-31	False	84011
2019-09-27	False	10653
2019-09-27	True	71407
2017-11-21	False	181871
2011-12-26	False	29020808
2021-02-22	False	1921722
2018-05-31	False	26151608
2020-04-17	False	71443698
2019-08-21	False	6002694
2013-12-12	False	352120
2014-09-11	False	652683
2020-12-17	False	637279
2018-06-12	False	43432346
2015-12-27	False	3827238
2016-02-25	False	83957
2020-02-21	False	599667
2013-02-28	False	65469298
2014-02-20	False	3200
2017-04-25	False	428779
2019-11-01	False	564962
2020-12-24	False	547422
2021-01-26	False	11498146
2020-07-17	False	235233
2016-01-14	False	395044
2019-03-31	True	30433
2015-11-03	False	518966
2019-07-08	False	686899
2019-02-25	False	763117241
2014-01-10	False	16919
2020-04-08	False	94353
2018-05-07	False	777649
2015-05-19	False	24853850
2013-11-30	False	56021
2015-11-13	False	4833678
2016-02-13	True	2013164
2012-07-04	False	1020136
2014-11-24	False	819478
2013-11-03	False	8600635
2021-01-06	False	1306723
2016-06-27	False	11657763
2012-05-21	False	134047
2019-06-10	False	224119
2018-10-07	True	1274051
2015-07-11	False	738556
2013-09-03	False	202683
2016-08-07	False	2247314
2020-01-27	False	9705172
2020-07-14	False	2856769
2020-10-28	False	3924454
2018-11-04	False	858
2014-01-04	False	148366
2016-11-28	True	377377
2012-08-01	False	7088010
2013-11-07	False	2983472
2012-07-11	False	453427
2013-06-02	False	13258797
2014-09-07	False	1186564
2019-02-15	False	18241518
2012-02-21	True	1327567
2018-10-05	False	66147869
2017-05-17	False	16472873
2020-01-12	True	23927853
2015-05-11	False	3474763
